id,x,y,ec.0-5 cm,ec.5-15 cm,ec.15-30 cm,ec.30-60 cm,ec.60-100 cm,ec.100-200 cm
136,767527.2845,3576060.032,1.607120726,1.888022148,2.943995573,5.33446743,8.374804686,8.374804686
137,765298.4239,3577236.862,42.8795059,61.02313878,126.3805394,203.1462365,131.5114958,131.5114958
138,766342.906,3577896.217,1.552753596,1.60322334,1.804711077,2.339218873,2.308128444,2.08693851
139,780640.1524,3580099.966,2.991504869,3.017701988,3.122287383,3.244483351,2.709444144,2.448710157
140,783808.0599,3583082.109,6.759872852,6.915306035,7.486984144,8.465480238,9.221971111,9.42846588
141,781960.8642,3591892.436,4.544815969,4.121515093,3.198882398,5.470827383,14.07598588,14.07598588
142,780146.8557,3593693.35,249.6607361,236.4490388,187.7247525,100.9531939,31.29290059,16.85123802
143,779933.2215,3591266.055,259.8400361,249.6626297,209.0318986,113.639019,68.63310359,61.55120507
144,784647.7909,3586633.477,17.24433459,16.34006772,13.03026005,7.775220461,5.828235903,8.189480079
145,781546.1062,3585272.733,62.06578202,60.79240613,55.70877369,38.64014099,18.23290188,21.79458691
146,781491.9365,3588422.413,19.07148962,18.7757388,17.69628685,16.06091974,15.87278737,19.76918451
147,777897.721,3588137.387,11.57377552,11.59682019,11.68706236,11.79388019,11.44851929,10.00415915
148,775521.9243,3590923.937,9.409002613,9.770165167,11.1952563,14.31578194,16.97953778,18.65271037
149,778611.6995,3583892.989,6.333537678,6.37917457,6.562346354,7.267185191,9.224199681,12.28557368
150,777781.7965,3582291.437,8.281305676,8.157133795,7.667706349,6.666606786,6.147419244,6.428440268
151,781494.8549,3576425.225,6.467188644,6.436295281,6.312961312,6.170087134,7.260733922,10.96231875
152,786095.3321,3574439.359,9.278419866,9.331144502,9.541444199,10.10773491,10.8685423,11.74211453
153,785048.2871,3581174.776,9.307958926,9.18672799,8.708911836,7.734131778,7.263162205,7.97180763
154,794033.8555,3584424.705,70.85644449,102.2396185,171.4776364,77.7779256,55.38311521,53.60126523
